num,name,score,lng,lat
161,四川睿光科技有限责任公司,87,102.8991597,30.36748094
162,四川省绵阳市吉星消防药剂有限公司,89,104.705519,31.50470126
163,江油中化炉窑工程有限公司,88,104.7228681,31.76385467
164,绵阳盛莉科技有限责任公司,82,104.705519,31.50470126
165,四川久信工程造价咨询有限公司,85,102.8991597,30.36748094
166,四川海鹏里科技有限公司,84,102.8991597,30.36748094
167,绵阳鑫亮机电科技有限公司,87,104.705519,31.50470126
168,四川科莱信息技术有限公司,88,102.8991597,30.36748094
169,四川迈实通科技有限责任公司,85,104.703652,31.496788
170,四川省安道速博科技有限公司,83,102.8991597,30.36748094
171,四川天利科技有限责任公司,89,104.7611009,31.84372946
172,绵阳同成智能装备股份有限公司,93,104.705519,31.50470126
173,绵阳堂宏家纺有限公司,87,104.705519,31.50470126
174,四川天佑归谷科技有限公司,91,104.702735,31.49678
175,绵阳北斗电子有限公司,91,104.705519,31.50470126
176,绵阳丰源科技有限公司,85,104.705519,31.50470126
177,四川小康时代互联网信息服务有限公司,87,104.791859,31.420965
178,绵阳美科电子设备有限责任公司,88,104.6968891,31.49254487
179,绵阳市胜源合金制造有限公司,85,104.705519,31.50470126
180,四川蓝狮科技有限公司,86,102.8991597,30.36748094
181,四川中物材料股份有限公司,92,102.8991597,30.36748094
182,绵阳龙兴科技有限公司,90,104.7856922,31.51374542
183,四川嘉泰工业产品设计有限责任公司,87,104.788765,31.513407
184,绵阳西磁新材料有限公司,87,104.705519,31.50470126
185,四川省豆萁科技股份有限公司,88,102.8991597,30.36748094
186,四川易德机械有限公司,88,102.8991597,30.36748094
187,四川久信工程项目管理有限公司,89,104.744864,31.48478046
188,绵阳市耐特电子实业有限责任公司,86,104.7203107,31.46243988
189,绵阳金鼎机电技术有限公司,81,104.705519,31.50470126
190,四川九九天目医疗器械有限公司,91,104.695742,31.49245
191,安县长城机械制造有限公司,85,104.368786,31.58918164
192,四川奇石缘科技股份有限公司,94,104.655709,31.526464
193,四川安县银河机械制造有限责任公司,88,102.8991597,30.36748094
194,绵阳昊天信息技术有限公司,86,104.705519,31.50470126
195,绵阳市科学城红杉科技有限责任公司,74,104.7481915,31.51773607
196,绵阳市凌峰机械制造有限责任公司,73,104.8496324,31.37641129
197,绵阳秦川恒远汽车电器有限公司,75,104.5563807,31.5379997
198,绵阳特航科技有限公司,68,104.705519,31.50470126
199,四川圣凯利电气设备有限公司,74,102.8991597,30.36748094
200,四川伍贰捌自动化设备有限公司,71,102.8991597,30.36748094
201,四川中物科技孵化器管理有限公司,73,102.8991597,30.36748094
202,四川博威能源技术有限公司,74,102.8991597,30.36748094
203,绵阳市启林实业有限公司,72,104.5897195,31.51273806
204,绵阳德菱机电科技有限公司,70,104.705519,31.50470126
205,绵阳市天从科技有限公司,70,104.705519,31.50470126
206,四川汇邦环保科技有限公司,74,104.679947,31.506166
207,四川帝威能源技术有限公司,77,102.8991597,30.36748094
208,四川光发科技有限公司,74,102.8991597,30.36748094
209,四川瑞可达连接系统有限公司,75,102.8991597,30.36748094
210,四川海格恒通专网科技有限公司,77,104.787496,31.507541
211,绵阳伦奇机器人有限公司,74,104.705519,31.50470126
212,四川省科学城久信科技有限公司,92,104.7481915,31.51773607
213,四川通恒中科信息技术有限公司,74,102.8991597,30.36748094
214,四川中川智能设备有限公司,70,104.659631,31.516331
215,四川昊伶节能科技有限公司,72,102.8991597,30.36748094
216,四川远方高新装备零部件股份有限公司,77,104.726647,31.773641
217,四川汇能能源投资管理有限公司,73,104.7152667,31.49817185
218,绵阳西创信息技术有限公司,70,104.705519,31.50470126
219,四川恒远机电科技有限公司,75,104.7026851,31.52780704
220,四川特飞科技股份有限公司,79,102.8991597,30.36748094
221,四川灵通电讯有限公司,75,104.685974,31.475758
222,四川国力科创科技有限公司,71,102.8991597,30.36748094
223,四川蜀旺新能源股份有限公司,76,102.8991597,30.36748094
224,四川中物技术股份有限公司,80,104.705493,31.490298
225,四川高达科技有限公司,76,102.8991597,30.36748094
226,绵阳市正阳科技有限公司,71,104.8024363,31.39933028
227,四川微松新材料有限公司,70,102.8991597,30.36748094
228,绵阳神州新材料有限责任公司,77,104.705519,31.50470126
229,四川绵阳鼎鑫智能装备有限公司,76,104.705519,31.50470126
230,四川虹信软件股份有限公司,79,102.8991597,30.36748094
231,绵阳二四机械有限公司,78,104.705519,31.50470126
232,绵阳日盛科技有限公司,79,104.705519,31.50470126
233,四川长虹智能制造技术有限公司,84,104.687489,31.475417
234,四川神工精密机械科技有限公司,86,104.747065,31.523612
235,绵阳旭朗科技服务有限公司,81,104.705519,31.50470126
236,四川科成机电设备有限公司,86,104.764076,31.494385
237,绵阳逢研科技有限公司,81,104.705519,31.50470126
238,四川天健科技有限公司,85,104.705518,31.504701
239,四川博明图科技有限公司,85,104.6835,31.503647
240,四川长虹电子科技有限公司,93,104.7487824,31.47587459
